Date,Time,Value,Chart Type
3/12/2019,0:00:00,2.8,Chart A
3/12/2019,0:00:00,5,Chart C
3/12/2019,0:00:00,11,Chart H
3/12/2019,0:00:00,0,Chart D
3/12/2019,0:00:00,55,Chart B
3/12/2019,0:00:00,53,Chart F
3/12/2019,0:00:00,0,Chart G
3/12/2019,0:00:00,94,Chart I
3/12/2019,0:00:00,53,Chart J
3/12/2019,0:00:00,711,Chart K
3/12/2019,0:00:00,1272,Chart L
3/12/2019,0:00:00,22,Chart M
3/12/2019,0:00:00,0,Chart N
3/12/2019,0:00:20,0,Chart A
3/12/2019,0:00:20,0,Chart C
3/12/2019,0:00:20,11,Chart H
3/12/2019,0:00:20,0,Chart D
3/12/2019,0:00:20,0,Chart B
3/12/2019,0:00:20,0,Chart F
3/12/2019,0:00:20,0,Chart G
3/12/2019,0:00:20,0,Chart I
3/12/2019,0:00:20,0,Chart J
3/12/2019,0:00:20,0,Chart K
3/12/2019,0:00:20,0,Chart L
3/12/2019,0:00:20,0,Chart M
3/12/2019,0:00:20,0,Chart N
3/12/2019,0:00:40,0,Chart A
3/12/2019,0:00:40,0,Chart C
3/12/2019,0:00:40,11,Chart H
3/12/2019,0:00:40,0,Chart D
3/12/2019,0:00:40,0,Chart B
3/12/2019,0:00:40,0,Chart F
3/12/2019,0:00:40,0,Chart G
3/12/2019,0:00:40,0,Chart I
3/12/2019,0:00:40,0,Chart J
3/12/2019,0:00:40,0,Chart K
3/12/2019,0:00:40,0,Chart L
3/12/2019,0:00:40,0,Chart M
3/12/2019,0:00:40,0,Chart N
3/12/2019,0:01:00,0,Chart A
3/12/2019,0:01:00,0,Chart C
3/12/2019,0:01:00,11,Chart H
3/12/2019,0:01:00,0,Chart D
3/12/2019,0:01:00,0,Chart B
3/12/2019,0:01:00,0,Chart F
3/12/2019,0:01:00,0,Chart G
3/12/2019,0:01:00,0,Chart I
3/12/2019,0:01:00,0,Chart J
3/12/2019,0:01:00,0,Chart K
3/12/2019,0:01:00,0,Chart L
3/12/2019,0:01:00,0,Chart M
3/12/2019,0:01:00,0,Chart N
3/12/2019,0:01:20,0,Chart A
3/12/2019,0:01:20,0,Chart C
